"","feature","exposure","coef","stderr","pval","k","tau2","stderr.tau2","pval.tau2","I2","H2","weight_FengQ_2015.metaphlan_bugs_list.stool","weight_HanniganGD_2017.metaphlan_bugs_list.stool","weight_VogtmannE_2016.metaphlan_bugs_list.stool","weight_YuJ_2015.metaphlan_bugs_list.stool","weight_ZellerG_2014.metaphlan_bugs_list.stool","pval.bonf","qval.fdr"
"s__Stomatobaculum_longum","s__Stomatobaculum_longum","CRC",0.000203372508312565,0.000119063780643923,0.0876183115355787,4,0,5.16861043939308e-08,0.890694341665435,0,1,23.7721219730806,NA,4.47135983812043,62.4327067613694,9.32381142742959,1,0.394711695937873
"s__Peptoniphilus_lacrimalis","s__Peptoniphilus_lacrimalis","CRC",0.000140101752740164,0.000116176316004008,0.227840339831728,4,0,4.57158675290205e-08,0.713683305901055,0,1,29.6291350855218,NA,5.10761714528725,64.8729229419183,0.390324827272682,1,0.57735457842176
"s__Campylobacter_ureolyticus","s__Campylobacter_ureolyticus","CRC",0.000803583493287104,0.000279761978833514,0.00407389170655524,4,7.7187422408309e-08,2.55210609197391e-07,0.254021793206064,24.0563303667495,1.31676544579585,40.8056215396438,NA,16.1618782984706,31.2914583608885,11.7410418009971,1,0.0896256175442152
"s__Enterococcus_casseliflavus","s__Enterococcus_casseliflavus","CRC",-0.00017115305686976,0.000123824239217388,0.16690238371296,3,0,9.17829567963724e-08,0.526367645894407,0,1,6.12827046735869,NA,NA,82.7197060180749,11.1520235145664,1,0.527978782464527
"s__Brevibacterium_unclassified","s__Brevibacterium_unclassified","CRC",3.71222598330654e-05,0.000165138881622424,0.822139392242816,4,6.46509994496369e-08,8.89946657981532e-08,0.0604634223622375,60.2836886956901,2.51785719055808,24.4117836089568,NA,29.6122621511911,27.1734569985691,18.8024972412831,1,0.958832447820537
"s__Lactobacillus_sanfranciscensis","s__Lactobacillus_sanfranciscensis","CRC",0.000311520907359727,0.000308867145515339,0.313170383909814,4,8.03126682134178e-08,3.11681361244127e-07,0.289753182464886,20.8939177499179,1.26412530055356,18.1106322719166,NA,32.734628662064,23.0133352452159,26.1414038208035,1,0.64885822869186
"s__Ageratum_yellow_vein_Singapore_alphasatellite","s__Ageratum_yellow_vein_Singapore_alphasatellite","CRC",-0.000541841259080962,0.000251581789016367,0.0312607243191335,2,0,3.1736492539571e-07,0.512483213286627,0,1,16.9880662480376,NA,NA,83.0119337519624,NA,1,0.210141535700842
"s__Bacteroides_sp_2_1_22","s__Bacteroides_sp_2_1_22","CRC",-0.00101863379463477,0.00351527470722123,0.771989448553935,4,3.31861939882868e-05,4.0380476984378e-05,0.0195592056583244,68.3809314247155,3.16264850629302,30.3993656263161,NA,25.1368006676865,21.880559783634,22.5832739223634,1,0.950155216027386
"s__Leuconostoc_lactis","s__Leuconostoc_lactis","CRC",-0.000151869165883765,0.000121207036370603,0.210215467190109,3,1.50385478872948e-08,5.20787575420443e-08,0.405986642508802,27.2049784792821,1.3737203164579,NA,NA,68.1036001019563,4.74542395857522,27.1509759394685,1,0.562162767833822
"s__Acidaminococcus_intestini","s__Acidaminococcus_intestini","CRC",0.000376258992802663,0.000565351762467376,0.505711070760426,5,3.47978786788056e-07,1.5391912733887e-06,0.572077491945521,13.3026372642152,1.15343762306537,73.5202349732383,5.00767794258129,1.65564826913197,14.0794605689953,5.73697824605309,1,0.794172335915127
"s__Holdemania_sp_AP2","s__Holdemania_sp_AP2","CRC",0.00160197155330307,0.000948209037547989,0.0911292285242339,4,0,2.89982416767147e-06,0.810421431233854,0,1,31.4570558807595,NA,19.722164004302,8.61043720186083,40.2103429130777,1,0.40240555157051
"s__Lactobacillus_johnsonii","s__Lactobacillus_johnsonii","CRC",-0.000103760662240752,0.00043424726240258,0.811149212964117,3,2.62702894078366e-07,5.84553613907161e-07,0.170991076440704,45.3847889127981,1.83099173306012,24.5524875975472,NA,47.8709856389077,NA,27.576526763545,1,0.951544178453889
"s__Bombyx_mori_nucleopolyhedrovirus","s__Bombyx_mori_nucleopolyhedrovirus","CRC",0.000126710707034126,9.34815992828547e-05,0.175270572856236,3,3.71318687336098e-09,2.94455199637807e-08,0.353913972407914,12.2729855288706,1.13989972875356,19.1480741682586,NA,NA,22.3935250736233,58.4584007581181,1,0.540329219620469
